RetainedTxp	DuplicateTxp
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000365151.1|ENSG00000202021.1|-|-|Y_RNA.322-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000363000.1|ENSG00000199870.1|-|-|Y_RNA.82-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000365015.1|ENSG00000201885.1|-|-|Y_RNA.306-201|Y_RNA|102|misc_RNA|
ENST00000364412.1|ENSG00000201282.1|-|-|Y_RNA.235-201|Y_RNA|102|misc_RNA|	ENST00000365089.1|ENSG00000201959.1|-|-|Y_RNA.312-201|Y_RNA|102|misc_RNA|
ENST00000636800.1|ENSG00000284055.1|-|-|MIR4315-1-201|MIR4315-1|73|miRNA|	ENST00000640925.1|ENSG00000284172.1|-|-|MIR4315-2-201|MIR4315-2|73|miRNA|
ENST00000516220.1|ENSG00000252029.1|-|-|RNA5SP253-201|RNA5SP253|50|rRNA|	ENST00000516726.1|ENSG00000252535.1|-|-|RNA5SP254-201|RNA5SP254|50|rRNA|
ENST00000516220.1|ENSG00000252029.1|-|-|RNA5SP253-201|RNA5SP253|50|rRNA|	ENST00000517093.1|ENSG00000252902.1|-|-|RNA5SP342-201|RNA5SP342|50|rRNA|
ENST00000561479.1|ENSG00000260845.1|OTTHUMG00000176511.1|OTTHUMT00000432368.1|AC138907.2-201|AC138907.2|866|lincRNA|	ENST00000562827.1|ENSG00000261682.1|OTTHUMG00000176453.1|OTTHUMT00000432104.1|AC145350.4-201|AC145350.4|866|lincRNA|
ENST00000535190.1|ENSG00000169246.16|OTTHUMG00000163506.5|OTTHUMT00000400437.1|NPIPB3-207|NPIPB3|631|processed_transcript|	ENST00000540103.1|ENSG00000185864.16|OTTHUMG00000163555.7|OTTHUMT00000402336.1|NPIPB4-212|NPIPB4|631|processed_transcript|
ENST00000535190.1|ENSG00000169246.16|OTTHUMG00000163506.5|OTTHUMT00000400437.1|NPIPB3-207|NPIPB3|631|processed_transcript|	ENST00000540704.1|ENSG00000243716.10|OTTHUMG00000163573.6|OTTHUMT00000402485.1|NPIPB5-218|NPIPB5|631|processed_transcript|
ENST00000411342.6|ENSG00000223274.6|-|-|RNA5SP498-201|RNA5SP498|120|rRNA|	ENST00000411342.6_PAR_Y|ENSG00000223274.6_PAR_Y|-|-|RNA5SP498-201|RNA5SP498|120|rRNA|
ENST00000472794.1|ENSG00000015568.12|OTTHUMG00000130985.17|OTTHUMT00000330116.1|RGPD5-208|RGPD5|646|retained_intron|	ENST00000480894.1|ENSG00000183054.11|OTTHUMG00000153196.11|OTTHUMT00000330156.1|RGPD6-209|RGPD6|646|retained_intron|
ENST00000472794.1|ENSG00000015568.12|OTTHUMG00000130985.17|OTTHUMT00000330116.1|RGPD5-208|RGPD5|646|retained_intron|	ENST00000471422.1|ENSG00000169629.11|OTTHUMG00000153289.3|OTTHUMT00000330565.1|RGPD8-204|RGPD8|646|retained_intron|
ENST00000459414.1|ENSG00000238783.1|-|-|Y_RNA.641-201|Y_RNA|105|misc_RNA|	ENST00000364214.1|ENSG00000201084.1|-|-|Y_RNA.217-201|Y_RNA|105|misc_RNA|
ENST00000613290.4|ENSG00000223804.5|OTTHUMG00000185011.1|OTTHUMT00000469435.1|AC244669.1-203|AC244669.1|447|processed_transcript|	ENST00000617712.1|ENSG00000275557.1|OTTHUMG00000182668.3|OTTHUMT00000462965.3|AC242842.1-201|AC242842.1|447|lincRNA|
ENST00000516400.1|ENSG00000252209.1|-|-|RNU1-48P-201|RNU1-48P|162|snRNA|	ENST00000516161.1|ENSG00000251970.1|-|-|RNU1-41P-201|RNU1-41P|162|snRNA|
ENST00000509329.1|ENSG00000250801.1|OTTHUMG00000163180.1|OTTHUMT00000371917.1|AC138965.1-201|AC138965.1|348|antisense_RNA|	ENST00000504362.1|ENSG00000249186.1|OTTHUMG00000163461.1|OTTHUMT00000373574.1|AC140125.3-202|AC140125.3|348|antisense_RNA|
ENST00000624261.1|ENSG00000279094.3|OTTHUMG00000189365.2|OTTHUMT00000479452.1|LINC01670-202|LINC01670|936|lincRNA|	ENST00000623324.1|ENSG00000280145.3|OTTHUMG00000189396.1|OTTHUMT00000479566.1|CU638689.4-208|CU638689.4|936|lincRNA|
ENST00000624261.1|ENSG00000279094.3|OTTHUMG00000189365.2|OTTHUMT00000479452.1|LINC01670-202|LINC01670|936|lincRNA|	ENST00000624728.1|ENSG00000280018.3|OTTHUMG00000189403.1|OTTHUMT00000479586.1|CU634019.6-203|CU634019.6|936|lincRNA|
ENST00000489233.6|ENSG00000124334.17|OTTHUMG00000022720.1|OTTHUMT00000058982.1|IL9R-203|IL9R|298|processed_transcript|	ENST00000489233.6_PAR_Y|ENSG00000124334.17_PAR_Y|OTTHUMG00000022720.1|OTTHUMT00000058982.1|IL9R-203|IL9R|298|processed_transcript|
ENST00000546612.1|ENSG00000257366.1|OTTHUMG00000170527.1|OTTHUMT00000409530.1|AC138969.3-201|AC138969.3|1459|lincRNA|	ENST00000549796.1|ENSG00000257563.1|OTTHUMG00000170522.1|OTTHUMT00000409525.1|AC126755.4-201|AC126755.4|1459|lincRNA|
ENST00000624994.1|ENSG00000112852.6|OTTHUMG00000129606.5|OTTHUMT00000478859.2|PCDHB2-204|PCDHB2|162|protein_coding|	ENST00000624513.1|ENSG00000113205.5|OTTHUMG00000129622.5|OTTHUMT00000478860.2|PCDHB3-202|PCDHB3|162|protein_coding|
ENST00000619938.1|ENSG00000225210.9|OTTHUMG00000188246.3|OTTHUMT00000477543.1|DUXAP9-205|DUXAP9|642|processed_transcript|	ENST00000616922.4|ENSG00000244306.10|OTTHUMG00000170430.12|OTTHUMT00000477646.1|DUXAP10-207|DUXAP10|642|processed_transcript|
ENST00000602357.6|ENSG00000236017.8|OTTHUMG00000021056.3|OTTHUMT00000468107.1|ASMTL-AS1-205|ASMTL-AS1|435|antisense_RNA|	ENST00000602357.6_PAR_Y|ENSG00000236017.8_PAR_Y|OTTHUMG00000021056.3|OTTHUMT00000468107.1|ASMTL-AS1-205|ASMTL-AS1|435|antisense_RNA|
ENST00000383948.1|ENSG00000206675.1|-|-|RNU6-32P-201|RNU6-32P|107|snRNA|	ENST00000384248.1|ENSG00000206975.1|-|-|RNU6-13P-201|RNU6-13P|107|snRNA|
ENST00000383948.1|ENSG00000206675.1|-|-|RNU6-32P-201|RNU6-32P|107|snRNA|	ENST00000384604.1|ENSG00000207334.1|-|-|RNU6-12P-201|RNU6-12P|107|snRNA|
ENST00000336777.9|ENSG00000241476.8|OTTHUMG00000022697.1|OTTHUMT00000058899.1|SSX2-201|SSX2|1410|protein_coding|	ENST00000612490.1|ENSG00000268447.5|OTTHUMG00000021593.3|OTTHUMT00000056693.3|SSX2B-203|SSX2B|1410|protein_coding|
ENST00000494962.6|ENSG00000124334.17|OTTHUMG00000022720.1|OTTHUMT00000058984.1|IL9R-204|IL9R|308|processed_transcript|	ENST00000494962.6_PAR_Y|ENSG00000124334.17_PAR_Y|OTTHUMG00000022720.1|OTTHUMT00000058984.1|IL9R-204|IL9R|308|processed_transcript|
ENST00000538439.1|ENSG00000169246.16|OTTHUMG00000163506.5|OTTHUMT00000400435.1|NPIPB3-209|NPIPB3|543|processed_transcript|	ENST00000542518.5|ENSG00000243716.10|OTTHUMG00000163573.6|OTTHUMT00000402484.1|NPIPB5-221|NPIPB5|543|nonsense_mediated_decay|
ENST00000538439.1|ENSG00000169246.16|OTTHUMG00000163506.5|OTTHUMT00000400435.1|NPIPB3-209|NPIPB3|543|processed_transcript|	ENST00000564502.1|ENSG00000198064.13|OTTHUMG00000163556.2|OTTHUMT00000434108.1|NPIPB13-205|NPIPB13|543|nonsense_mediated_decay|
ENST00000534940.6|ENSG00000169093.15|OTTHUMG00000021057.1|-|ASMTL-206|ASMTL|2048|protein_coding|	ENST00000534940.6_PAR_Y|ENSG00000169093.15_PAR_Y|OTTHUMG00000021057.1|-|ASMTL-206|ASMTL|2048|protein_coding|
ENST00000622591.1|ENSG00000278825.1|-|-|RN7SL640P-201|RN7SL640P|261|misc_RNA|	ENST00000620904.1|ENSG00000273717.1|-|-|RN7SL343P-201|RN7SL343P|261|misc_RNA|
ENST00000622591.1|ENSG00000278825.1|-|-|RN7SL640P-201|RN7SL640P|261|misc_RNA|	ENST00000610302.1|ENSG00000276522.1|-|-|RN7SL462P-201|RN7SL462P|261|misc_RNA|
ENST00000390855.1|ENSG00000212157.1|-|-|RNU6-1319P-201|RNU6-1319P|104|snRNA|	ENST00000390928.1|ENSG00000212230.1|-|-|RNU6-747P-201|RNU6-747P|104|snRNA|
ENST00000390855.1|ENSG00000212157.1|-|-|RNU6-1319P-201|RNU6-1319P|104|snRNA|	ENST00000391148.1|ENSG00000212450.1|-|-|RNU6-241P-201|RNU6-241P|104|snRNA|
ENST00000432606.1|ENSG00000015568.12|OTTHUMG00000130985.17|OTTHUMT00000330112.3|RGPD5-206|RGPD5|568|protein_coding|	ENST00000455695.1|ENSG00000183054.11|OTTHUMG00000153196.11|OTTHUMT00000330152.3|RGPD6-205|RGPD6|568|protein_coding|
ENST00000436801.5|ENSG00000228383.6|OTTHUMG00000041532.2|OTTHUMT00000099500.1|FAM197Y7-203|FAM197Y7|467|processed_transcript|	ENST00000619815.4|ENSG00000225516.6|OTTHUMG00000187485.9|OTTHUMT00000475070.8|FAM197Y5-203|FAM197Y5|467|lincRNA|
ENST00000436801.5|ENSG00000228383.6|OTTHUMG00000041532.2|OTTHUMT00000099500.1|FAM197Y7-203|FAM197Y7|467|processed_transcript|	ENST00000616275.4|ENSG00000274196.4|OTTHUMG00000187486.2|OTTHUMT00000475071.1|FAM197Y4-201|FAM197Y4|467|processed_transcript|
ENST00000436801.5|ENSG00000228383.6|OTTHUMG00000041532.2|OTTHUMT00000099500.1|FAM197Y7-203|FAM197Y7|467|processed_transcript|	ENST00000418016.5|ENSG00000234803.7|OTTHUMG00000041523.2|OTTHUMT00000099480.1|FAM197Y2-201|FAM197Y2|467|processed_transcript|
ENST00000623227.1|ENSG00000279094.3|OTTHUMG00000189365.2|OTTHUMT00000479453.1|LINC01670-201|LINC01670|674|lincRNA|	ENST00000624181.1|ENSG00000278878.1|OTTHUMG00000189469.1|OTTHUMT00000479760.1|CU638689.1-202|CU638689.1|674|lincRNA|
ENST00000483543.7|ENSG00000270726.6|OTTHUMG00000184987.2|OTTHUMT00000058983.2|AJ271736.1-201|AJ271736.1|773|retained_intron|	ENST00000483543.7_PAR_Y|ENSG00000270726.6_PAR_Y|OTTHUMG00000184987.2|OTTHUMT00000058983.2|AJ271736.1-201|AJ271736.1|773|retained_intron|
ENST00000459351.1|ENSG00000238489.1|-|-|RNU6-749P-201|RNU6-749P|107|snRNA|	ENST00000612037.1|ENSG00000275174.1|-|-|U6.50-201|U6|107|snRNA|
ENST00000459351.1|ENSG00000238489.1|-|-|RNU6-749P-201|RNU6-749P|107|snRNA|	ENST00000363920.1|ENSG00000200790.1|-|-|RNU6-631P-201|RNU6-631P|107|snRNA|
ENST00000564458.1|ENSG00000260644.6|OTTHUMG00000176513.3|OTTHUMT00000432373.1|HERC2P5-202|HERC2P5|1164|processed_transcript|	ENST00000564795.1|ENSG00000261599.6|OTTHUMG00000176452.3|OTTHUMT00000432099.1|HERC2P8-203|HERC2P8|1164|processed_transcript|
ENST00000485850.1|ENSG00000172661.17|OTTHUMG00000018089.5|OTTHUMT00000047808.1|WASHC2C-207|WASHC2C|273|retained_intron|	ENST00000476514.1|ENSG00000099290.15|OTTHUMG00000018225.3|OTTHUMT00000048066.1|WASHC2A-207|WASHC2A|273|processed_transcript|
ENST00000517068.1|ENSG00000252877.1|-|-|RNA5SP312-201|RNA5SP312|116|rRNA|	ENST00000516340.1|ENSG00000252149.1|-|-|RNA5SP315-201|RNA5SP315|116|rRNA|
ENST00000415337.6|ENSG00000182378.13|OTTHUMG00000022693.5|OTTHUMT00000313975.2|PLCXD1-204|PLCXD1|579|protein_coding|	ENST00000415337.6_PAR_Y|ENSG00000182378.13_PAR_Y|OTTHUMG00000022693.5|OTTHUMT00000313975.2|PLCXD1-204|PLCXD1|579|protein_coding|
ENST00000432757.6|ENSG00000185291.11|OTTHUMG00000021059.4|OTTHUMT00000055601.4|IL3RA-203|IL3RA|662|protein_coding|	ENST00000432757.6_PAR_Y|ENSG00000185291.11_PAR_Y|OTTHUMG00000021059.4|OTTHUMT00000055601.4|IL3RA-203|IL3RA|662|protein_coding|
ENST00000443473.1|ENSG00000225508.1|OTTHUMG00000021574.2|OTTHUMT00000056673.2|SSXP5-201|SSXP5|287|unprocessed_pseudogene|	ENST00000434905.1|ENSG00000226867.1|OTTHUMG00000021592.2|OTTHUMT00000056692.2|AC244505.4-201|AC244505.4|287|unprocessed_pseudogene|
ENST00000622040.1|ENSG00000277313.1|-|-|7SK.13-201|7SK|250|misc_RNA|	ENST00000516847.1|ENSG00000252656.1|-|-|RN7SKP88-201|RN7SKP88|250|misc_RNA|
ENST00000622040.1|ENSG00000277313.1|-|-|7SK.13-201|7SK|250|misc_RNA|	ENST00000612110.1|ENSG00000273591.1|-|-|7SK.8-201|7SK|250|misc_RNA|
ENST00000421205.2|ENSG00000224989.2|OTTHUMG00000041970.2|OTTHUMT00000467305.1|FAM41AY1-201|FAM41AY1|906|lincRNA|	ENST00000458627.2|ENSG00000226362.2|OTTHUMG00000041973.2|OTTHUMT00000467306.1|FAM41AY2-201|FAM41AY2|906|lincRNA|
ENST00000460621.6|ENSG00000124333.15|OTTHUMG00000022679.2|OTTHUMT00000058847.2|VAMP7-203|VAMP7|658|protein_coding|	ENST00000460621.6_PAR_Y|ENSG00000124333.15_PAR_Y|OTTHUMG00000022679.2|OTTHUMT00000058847.2|VAMP7-203|VAMP7|658|protein_coding|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000384205.1|ENSG00000206932.1|-|-|RNU6-4P-201|RNU6-4P|107|snRNA|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000606623.1|ENSG00000272055.1|-|-|RNU6-6P-201|RNU6-6P|107|snRNA|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000383898.1|ENSG00000206625.1|-|-|RNU6-1-201|RNU6-1|107|snRNA|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000384776.1|ENSG00000207507.1|-|-|RNU6-9-201|RNU6-9|107|snRNA|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000384627.1|ENSG00000207357.1|-|-|RNU6-2-201|RNU6-2|107|snRNA|
ENST00000384238.1|ENSG00000206965.1|-|-|RNU6-5P-201|RNU6-5P|107|snRNA|	ENST00000384314.1|ENSG00000207041.1|-|-|RNU6-3P-201|RNU6-3P|107|snRNA|
ENST00000585138.1|ENSG00000266545.1|-|-|MIR5701-1-201|MIR5701-1|82|miRNA|	ENST00000615634.1|ENSG00000277841.1|-|-|MIR5701-2-201|MIR5701-2|82|miRNA|
ENST00000585138.1|ENSG00000266545.1|-|-|MIR5701-1-201|MIR5701-1|82|miRNA|	ENST00000578890.1|ENSG00000264902.1|-|-|MIR5701-3-201|MIR5701-3|82|miRNA|
ENST00000460849.5|ENSG00000187672.12|OTTHUMG00000158390.4|OTTHUMT00000350953.1|ERC2-202|ERC2|3831|nonsense_mediated_decay|	ENST00000612797.4|ENSG00000187672.12|OTTHUMG00000158390.4|-|ERC2-214|ERC2|3831|protein_coding|
ENST00000569679.1|ENSG00000260644.6|OTTHUMG00000176513.3|OTTHUMT00000432372.1|HERC2P5-203|HERC2P5|1647|processed_transcript|	ENST00000562229.1|ENSG00000261599.6|OTTHUMG00000176452.3|OTTHUMT00000432101.1|HERC2P8-201|HERC2P8|1647|processed_transcript|
ENST00000459806.1|ENSG00000185176.12|OTTHUMG00000152263.1|OTTHUMT00000325629.1|AQP12B-205|AQP12B|523|processed_transcript|	ENST00000471878.1|ENSG00000184945.13|OTTHUMG00000183906.1|OTTHUMT00000325621.1|AQP12A-204|AQP12A|523|processed_transcript|
ENST00000445840.2|ENSG00000237094.12|OTTHUMG00000002857.7|OTTHUMT00000346882.2|AL732372.2-207|AL732372.2|183|transcribed_unprocessed_pseudogene|	ENST00000439401.1|ENSG00000226008.1|OTTHUMG00000155430.1|OTTHUMT00000340075.1|SEPT14P3-201|SEPT14P3|183|unprocessed_pseudogene|
ENST00000445840.2|ENSG00000237094.12|OTTHUMG00000002857.7|OTTHUMT00000346882.2|AL732372.2-207|AL732372.2|183|transcribed_unprocessed_pseudogene|	ENST00000523795.4|ENSG00000250210.5|OTTHUMG00000191542.1|OTTHUMT00000488346.1|FO082796.1-201|FO082796.1|183|unprocessed_pseudogene|
ENST00000447472.6|ENSG00000182378.13|OTTHUMG00000022693.5|OTTHUMT00000313976.1|PLCXD1-209|PLCXD1|587|protein_coding|	ENST00000447472.6_PAR_Y|ENSG00000182378.13_PAR_Y|OTTHUMG00000022693.5|OTTHUMT00000313976.1|PLCXD1-209|PLCXD1|587|protein_coding|
ENST00000604790.2|ENSG00000269405.6|OTTHUMG00000189320.1|-|NXF2-201|NXF2|2143|protein_coding|	ENST00000604395.5|ENSG00000269437.6|OTTHUMG00000154920.2|-|NXF2B-203|NXF2B|2143|protein_coding|
ENST00000381401.10|ENSG00000169100.13|OTTHUMG00000021058.1|OTTHUMT00000055596.1|SLC25A6-201|SLC25A6|2062|protein_coding|	ENST00000381401.10_PAR_Y|ENSG00000169100.13_PAR_Y|OTTHUMG00000021058.1|OTTHUMT00000055596.1|SLC25A6-201|SLC25A6|2062|protein_coding|
ENST00000621869.1|ENSG00000278331.1|-|-|RNU6-156P-201|RNU6-156P|107|snRNA|	ENST00000384077.1|ENSG00000206804.1|-|-|RNU6-1293P-201|RNU6-1293P|107|snRNA|
ENST00000375644.3|ENSG00000182776.4|OTTHUMG00000021545.1|OTTHUMT00000056604.1|AC239585.1-201|AC239585.1|2369|lincRNA|	ENST00000375625.3|ENSG00000179028.4|OTTHUMG00000021548.1|OTTHUMT00000056627.1|AC245177.1-201|AC245177.1|2369|lincRNA|
ENST00000461518.1|ENSG00000237763.9|OTTHUMG00000011020.7|OTTHUMT00000030307.1|AMY1A-204|AMY1A|747|retained_intron|	ENST00000464691.1|ENSG00000174876.16|OTTHUMG00000011021.2|OTTHUMT00000030312.1|AMY1B-205|AMY1B|747|processed_transcript|
ENST00000456370.6|ENSG00000228410.6|OTTHUMG00000040493.1|OTTHUMT00000097437.1|ELOCP24-201|ELOCP24|334|processed_pseudogene|	ENST00000456370.6_PAR_Y|ENSG00000228410.6_PAR_Y|OTTHUMG00000040493.1|OTTHUMT00000097437.1|ELOCP24-201|ELOCP24|334|processed_pseudogene|
ENST00000517935.1|ENSG00000253492.1|OTTHUMG00000162449.3|OTTHUMT00000369086.2|CDH12P3-201|CDH12P3|295|unprocessed_pseudogene|	ENST00000518435.1|ENSG00000254335.1|OTTHUMG00000164541.1|OTTHUMT00000368952.2|CDH12P1-201|CDH12P1|295|unprocessed_pseudogene|
ENST00000419180.6|ENSG00000169246.16|OTTHUMG00000163506.5|OTTHUMT00000400432.2|NPIPB3-201|NPIPB3|910|protein_coding|	ENST00000541664.5|ENSG00000243716.10|OTTHUMG00000163573.6|OTTHUMT00000402486.1|NPIPB5-220|NPIPB5|910|nonsense_mediated_decay|
ENST00000623449.3|ENSG00000274333.4|OTTHUMG00000189364.2|OTTHUMT00000479456.1|CU633967.1-202|CU633967.1|560|lincRNA|	ENST00000617062.4|ENSG00000276077.4|OTTHUMG00000189371.1|OTTHUMT00000479482.1|CU633904.1-201|CU633904.1|560|lincRNA|
ENST00000385131.1|ENSG00000207866.1|-|-|MIR514A2-201|MIR514A2|88|miRNA|	ENST00000385132.1|ENSG00000207867.1|-|-|MIR514A3-201|MIR514A3|88|miRNA|
ENST00000381663.8|ENSG00000182378.13|OTTHUMG00000022693.5|-|PLCXD1-202|PLCXD1|1863|protein_coding|	ENST00000381663.8_PAR_Y|ENSG00000182378.13_PAR_Y|OTTHUMG00000022693.5|-|PLCXD1-202|PLCXD1|1863|protein_coding|
ENST00000331035.9|ENSG00000185291.11|OTTHUMG00000021059.4|OTTHUMT00000055600.3|IL3RA-201|IL3RA|1706|protein_coding|	ENST00000331035.9_PAR_Y|ENSG00000185291.11_PAR_Y|OTTHUMG00000021059.4|OTTHUMT00000055600.3|IL3RA-201|IL3RA|1706|protein_coding|
ENST00000548920.2|ENSG00000185347.17|OTTHUMG00000170426.4|OTTHUMT00000347044.4|C14orf80-218|C14orf80|1358|nonsense_mediated_decay|	ENST00000334656.11|ENSG00000185347.17|OTTHUMG00000170426.4|-|C14orf80-202|C14orf80|1358|protein_coding|
ENST00000511873.6|ENSG00000205571.13|OTTHUMG00000099389.7|OTTHUMT00000369083.2|SMN2-211|SMN2|431|nonsense_mediated_decay|	ENST00000507905.6|ENSG00000172062.16|OTTHUMG00000099361.6|OTTHUMT00000372645.2|SMN1-206|SMN1|431|nonsense_mediated_decay|
ENST00000546959.1|ENSG00000244306.10|OTTHUMG00000170430.12|OTTHUMT00000409425.1|DUXAP10-201|DUXAP10|413|processed_transcript|	ENST00000458623.1|ENSG00000206195.10|OTTHUMG00000185288.2|OTTHUMT00000276782.1|DUXAP8-205|DUXAP8|413|lincRNA|
ENST00000247005.7|ENSG00000130283.8|OTTHUMG00000183278.2|OTTHUMT00000465926.2|GDF1-201|GDF1|2517|protein_coding|	ENST00000623882.3|ENSG00000223802.7|OTTHUMG00000183049.2|OTTHUMT00000479671.1|CERS1-204|CERS1|2517|protein_coding|
ENST00000381177.6|ENSG00000002586.18|OTTHUMG00000021073.6|OTTHUMT00000055631.2|CD99-201|CD99|756|nonsense_mediated_decay|	ENST00000381177.6_PAR_Y|ENSG00000002586.18_PAR_Y|OTTHUMG00000021073.6|OTTHUMT00000055631.2|CD99-201|CD99|756|nonsense_mediated_decay|
